Rating,ID,Title,Title Slug,Difficulty,premium,status
2273.7910625337,753,Cracking the Safe,cracking-the-safe,Hard,False,
2273.2215764545,1434,Number of Ways to Wear Different Hats to Each Other,number-of-ways-to-wear-different-hats-to-each-other,Hard,False,
2272.4412003208,2179,Count Good Triplets in an Array,count-good-triplets-in-an-array,Hard,False,
2272.1122260637,952,Largest Component Size by Common Factor,largest-component-size-by-common-factor,Hard,False,
2267.7081680968,3068,Find the Maximum Sum of Node Values,find-the-maximum-sum-of-node-values,Hard,False,
2265.2118886972,2141,Maximum Running Time of N Computers,maximum-running-time-of-n-computers,Hard,False,
2262.5641910108,3048,Earliest Second to Mark Indices I,earliest-second-to-mark-indices-i,Medium,False,
2260.2799775623,1997,First Day Where You Have Been in All the Rooms,first-day-where-you-have-been-in-all-the-rooms,Medium,False,
2259.6572191969,857,Minimum Cost to Hire K Workers,minimum-cost-to-hire-k-workers,Hard,False,
2258.6371797452,864,Shortest Path to Get All Keys,shortest-path-to-get-all-keys,Hard,False,
2258.0069047781,3007,Maximum Number That Sum of the Prices Is Less Than or Equal to K,maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,Medium,False,
2250.9318291559,1125,Smallest Sufficient Team,smallest-sufficient-team,Hard,False,
2250.2578740769,1199,Minimum Time to Build Blocks,minimum-time-to-build-blocks,Hard,True,
2250.0454791316,1307,Verbal Arithmetic Puzzle,verbal-arithmetic-puzzle,Hard,False,
2246.8671174565,960,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,Hard,False,
2246.0452639352,2183,Count Array Pairs Divisible by K,count-array-pairs-divisible-by-k,Hard,False,
2241.6583403983,3082,Find the Sum of the Power of All Subsequences,find-the-sum-of-the-power-of-all-subsequences,Hard,False,
2241.5199974312,1240,Tiling a Rectangle with the Fewest Squares,tiling-a-rectangle-with-the-fewest-squares,Hard,False,
2239.7101856677,2732,Find a Good Subset of the Matrix,find-a-good-subset-of-the-matrix,Hard,False,
2238.2830745228,2646,Minimize the Total Price of the Trips,minimize-the-total-price-of-the-trips,Hard,False,
2235.9672341699,850,Rectangle Area II,rectangle-area-ii,Hard,False,
2235.5784618885,2528,Maximize the Minimum Powered City,maximize-the-minimum-powered-city,Hard,False,
2234.9191877602,1915,Number of Wonderful Substrings,number-of-wonderful-substrings,Medium,False,
2233.963903408,1178,Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,Hard,False,
2231.8099102949,1766,Tree of Coprimes,tree-of-coprimes,Hard,False,
2231.1942136357,3041,Maximize Consecutive Elements in an Array After Modification,maximize-consecutive-elements-in-an-array-after-modification,Hard,False,
2230.1673059455,1012,Numbers With Repeated Digits,numbers-with-repeated-digits,Hard,False,
2228.3454693625,2581,Count Number of Possible Root Nodes,count-number-of-possible-root-nodes,Hard,False,
2227.3896051956,2930,Number of Strings Which Can Be Rearranged to Contain Substring,number-of-strings-which-can-be-rearranged-to-contain-substring,Medium,False,
2225.3877535768,2163,Minimum Difference in Sums After Removal of Elements,minimum-difference-in-sums-after-removal-of-elements,Hard,False,
2223.1762282199,2484,Count Palindromic Subsequences,count-palindromic-subsequences,Hard,False,
2222.4805422748,2276,Count Integers in Intervals,count-integers-in-intervals,Hard,False,
2221.793185714,2561,Rearranging Fruits,rearranging-fruits,Hard,False,
2221.7336557442,1542,Find Longest Awesome Substring,find-longest-awesome-substring,Hard,False,
2221.3538766773,1627,Graph Connectivity With Threshold,graph-connectivity-with-threshold,Hard,False,
2220.8257124139,2543,Check if Point Is Reachable,check-if-point-is-reachable,Hard,False,
